fiscal_year,fiscal_quarter,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names,period,period_label,decided,approval_decided,denial_decided,approval_received,denial_received
2025,3,E11,Aliens with Extraordinary Ability,7471,3508,1765,18081,0.4695489225003346,0.2362468210413599,0.6652759340034136,0.3347240659965863,2.420157944050328,4,i140_fy2025_q4_v1.xlsx,2025Q3,2025 Q3,5273,0.6652759340034137,0.3347240659965864,0.46954892250033464,0.2362468210413599
2025,3,EB1,First Preference,12540,7287,1862,30275,0.5811004784688995,0.1484848484848484,0.7964804896710022,0.2035195103289977,2.4142743221690592,4,i140_fy2025_q4_v1.xlsx,2025Q3,2025 Q3,9149,0.7964804896710023,0.2035195103289977,0.5811004784688996,0.1484848484848485
2025,3,EB2,Second Preference,28214,17377,4726,82061,0.615899907847168,0.1675054937265187,0.7861828711034701,0.2138171288965298,2.908520592613596,4,i140_fy2025_q4_v1.xlsx,2025Q3,2025 Q3,22103,0.7861828711034701,0.21381712889652987,0.6158999078471681,0.16750549372651874
2025,3,NIW,National Interest Waiver,14542,5290,4511,68821,0.3637738963003713,0.3102049236693714,0.5397408427711458,0.4602591572288541,4.732567734837024,4,i140_fy2025_q4_v1.xlsx,2025Q3,2025 Q3,9801,0.5397408427711458,0.4602591572288542,0.3637738963003713,0.31020492366937147
2025,3,TOTAL,Total,62192,34680,6845,169847,0.5576279907383586,0.1100623874453305,0.8351595424443106,0.1648404575556893,2.73101041934654,4,i140_fy2025_q4_v1.xlsx,2025Q3,2025 Q3,41525,0.8351595424443107,0.16484045755568935,0.5576279907383587,0.11006238744533059
2025,4,E11,Aliens with Extraordinary Ability,7464,2331,2033,21157,0.3122990353697749,0.2723740621650589,0.5341429880843263,0.4658570119156736,2.834539121114684,4,i140_fy2025_q4_v1.xlsx,2025Q4,2025 Q4,4364,0.5341429880843263,0.4658570119156737,0.31229903536977494,0.27237406216505894
2025,4,EB1,First Preference,12549,6085,2154,34585,0.4848991951549924,0.1716471431986612,0.7385605049156451,0.2614394950843548,2.7559964937445214,4,i140_fy2025_q4_v1.xlsx,2025Q4,2025 Q4,8239,0.7385605049156451,0.2614394950843549,0.4848991951549924,0.17164714319866126
2025,4,EB2,Second Preference,30845,22906,6040,84575,0.7426163073431674,0.1958177986707732,0.7913355904097285,0.2086644095902715,2.741935483870968,4,i140_fy2025_q4_v1.xlsx,2025Q4,2025 Q4,28946,0.7913355904097285,0.20866440959027155,0.7426163073431674,0.19581779867077323
2025,4,NIW,National Interest Waiver,13983,2968,5356,74392,0.2122577415433025,0.3830365443753128,0.3565593464680442,0.6434406535319557,5.320174497604234,4,i140_fy2025_q4_v1.xlsx,2025Q4,2025 Q4,8324,0.3565593464680442,0.6434406535319558,0.21225774154330257,0.38303654437531287
2025,4,TOTAL,Total,66692,48882,8710,180439,0.7329514784381934,0.1306003718586936,0.848763717182942,0.1512362828170579,2.705556888382415,4,i140_fy2025_q4_v1.xlsx,2025Q4,2025 Q4,57592,0.8487637171829421,0.15123628281705792,0.7329514784381935,0.1306003718586937
2026,1,E11,Aliens with Extraordinary Ability,7756,2180,2414,24653,0.2810727178958225,0.3112429087158329,0.4745319982585981,0.5254680017414018,3.178571428571429,1,i140_fy2026_q1_v1.xlsx,2026Q1,2026 Q1,4594,0.47453199825859815,0.5254680017414018,0.2810727178958226,0.3112429087158329
2026,1,EB1,First Preference,13040,5961,2562,39463,0.4571319018404907,0.1964723926380368,0.6994016191481872,0.3005983808518127,3.026303680981595,1,i140_fy2026_q1_v1.xlsx,2026Q1,2026 Q1,8523,0.6994016191481872,0.30059838085181273,0.4571319018404908,0.1964723926380368
2026,1,EB2,Second Preference,24765,18246,3458,88234,0.7367655966081162,0.1396325459317585,0.8406745300405455,0.1593254699594544,3.5628507974964667,1,i140_fy2026_q1_v1.xlsx,2026Q1,2026 Q1,21704,0.8406745300405455,0.15932546995945449,0.7367655966081162,0.13963254593175853
2026,1,NIW,National Interest Waiver,13829,2380,3206,82812,0.1721021042736278,0.2318316581097693,0.4260651629072681,0.5739348370927319,5.988285487020031,1,i140_fy2026_q1_v1.xlsx,2026Q1,2026 Q1,5586,0.42606516290726815,0.5739348370927319,0.17210210427362788,0.23183165810976933
2026,1,TOTAL,Total,59148,47922,6453,186875,0.8102049097179955,0.1090992087644552,0.8813241379310344,0.1186758620689655,3.159447487658078,1,i140_fy2026_q1_v1.xlsx,2026Q1,2026 Q1,54375,0.8813241379310345,0.11867586206896552,0.8102049097179955,0.10909920876445527
